GreekCouncil,GreekOrganization,City,State,Country,School,PublicPrivateSchool,DomesticIntSchool,Boarding,Religion,Gender,Tuition,FreeLunchPercent,AthleteClassification,SportsTeam,Scholarship,TypeScholarship,Latitude,Longitude,Affiliation,SLG
Sorority,Zeta Tau Alpha,Arlington Heights,Illinois,United States,Prospect High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.13145756,Non-Athlete,None,No,None,42.081268,-87.980066,Panhel,None
Fraternity,Alpha Epsilon Pi,Armonk,New York,United States,Byram Hills High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.028735632,Non-Athlete,None,No,None,41.126485,-73.714019,IFC,None
None,None,Arvada,Colorado,United States,Ralston Valley High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.0831965,Non-Athlete,None,No,None,39.802764,-105.087484,SLG,Maxwell
Sorority,Zeta Tau Alpha,Arverne,New York,United States,Stuyvesant High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.45374583,Non-Athlete,None,No,None,40.593417,-73.789546,Panhel,None
None,None,Ashburn,Virginia,United States,Stone Bridge High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.06756756,Non-Athlete,None,No,None,39.043719,-77.48749,Neither,None
Fraternity,Pi Kappa Alpha,Asheville,North Carolina,United States,Asheville School,private,Domestic,Boarding,Unafilliated,Co-Ed,54900,NA,Non-Athlete,None,No,None,35.60095,-82.554016,IFC,None
None,None,Asheville,North Carolina,United States,Asheville School,private,Domestic,Boarding,Unafilliated,Co-Ed,54900,NA,Non-Athlete,None,Yes,Alumni Endowed,35.60095,-82.554016,Neither,None
None,None,Athens,Alabama,United States,Tanner High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.7300158,Non-Athlete,None,No,None,34.744741,-86.976145,SLG,Arts Theme House
None,None,Athens,Ohio,United States,Athens High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.403,Non-Athlete,None,No,None,39.32924,-82.101255,Neither,None
Sorority,Chi Omega,Atherton,California,United States,Castilleja School,private,Domestic,Day,Unafilliated,All-Girls,44580,NA,Non-Athlete,None,No,None,37.461327,-122.197743,Panhel,None
Fraternity,Alpha Tau Omega,Atlanta,Georgia,United States,Paideia School,private,Domestic,Day,Unafilliated,Co-Ed,23463,NA,Non-Athlete,None,No,None,33.749099,-84.390185,IFC,None
Fraternity,Pi Kappa Phi,Atlanta,Georgia,United States,North Springs Charter High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.46158499,Non-Athlete,None,No,None,33.749099,-84.390185,IFC,None
None,None,Atlanta,Georgia,United States,High School of Mathematics GEO MILEV,NA,NA,Day,Unafilliated,Co-Ed,NA,NA,Non-Athlete,None,No,None,33.749099,-84.390185,SLG,LangDorm
None,None,Atlanta,Georgia,United States,Lovett School,private,Domestic,Day,Unafilliated,Co-Ed,27720,NA,Athlete,Baseball,No,None,33.749099,-84.390185,Neither,None
None,None,Atlanta,Georgia,United States,Marist School,private,Domestic,Day,Catholic,Co-Ed,18650,NA,Athlete,Baseball,No,None,33.749099,-84.390185,Neither,None
None,None,Atlanta,Georgia,United States,The Weber School,private,Domestic,Day,Jewish,Co-Ed,26000,NA,Non-Athlete,None,No,None,33.749099,-84.390185,Neither,None
None,None,Atlanta,Georgia,United States,Paideia School,private,Domestic,Day,Unafilliated,Co-Ed,23463,NA,Non-Athlete,None,No,None,33.749099,-84.390185,Neither,None
None,None,Atlanta,Georgia,United States,Benjamin E Mays High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.7024,Non-Athlete,None,No,None,33.749099,-84.390185,Neither,None
None,None,Atlanta,Georgia,United States,The Westminster Schools,private,Domestic,Day,Inter-/Non-denominational,Co-Ed,26815,NA,Non-Athlete,None,No,None,33.749099,-84.390185,SLG,Ubuntu
Sorority,Delta Delta Delta,Atlanta,Georgia,United States,Deerfield Academy,private,Domestic,Boarding,Unafilliated,Co-Ed,60480,NA,Non-Athlete,None,No,None,33.749099,-84.390185,Panhel,None
Sorority,Gamma Phi Beta,Atlanta,Georgia,United States,Holy Innocents Episcopal School,private,Domestic,Day,Episcopal,Co-Ed,26670,NA,Non-Athlete,None,No,None,33.749099,-84.390185,Panhel,None
Sorority,Delta Gamma,Atlanta,Georgia,United States,Lakeside High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.41552734,Non-Athlete,None,No,None,33.749099,-84.390185,Panhel,None
None,None,Atlantic Beach,Florida,United States,Episcopal School Jacksonville,private,Domestic,Day,Episcopal,Co-Ed,22400,NA,Non-Athlete,None,No,None,30.342165,-81.37037,SLG,Cooper
None,None,Auburn,California,United States,Placer High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.29004329,Non-Athlete,None,No,None,38.894594,-121.07399,SLG,Mirecourt
None,None,Augusta,Georgia,United States,Lakeside High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.25015995,Non-Athlete,None,No,None,33.470971,-81.974843,Neither,None
None,None,Aurora,Colorado,United States,Cherokee Trail High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.15785609,Non-Athlete,None,No,None,39.729432,-104.83192,SLG,Brownstone
None,None,Aurora,Colorado,United States,Cherokee Trail High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.15785609,Non-Athlete,None,No,None,39.729432,-104.83192,Neither,None
Sorority,Alpha Phi,Aurora,Colorado,United States,Cherokee Trail High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.15785609,Non-Athlete,None,No,None,39.729432,-104.83192,Panhel,None
None,None,Aurora,Ohio,United States,Aurora High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.0848,Non-Athlete,None,No,None,41.317555,-81.345386,Neither,None
