GreekCouncil,GreekOrganization,City,State,Country,School,PublicPrivateSchool,DomesticIntSchool,Boarding,Religion,Gender,Tuition,FreeLunchPercent,AthleteClassification,SportsTeam,Scholarship,TypeScholarship,Latitude,Longitude,Affiliation,SLG
None,None,Deerfield Beach,Florida,United States,American Heritage-Boca/Delray,private,Domestic,Day,Unafilliated,Co-Ed,28266,NA,Non-Athlete,None,No,None,26.318342,-80.099631,Neither,None
Fraternity,Sigma Alpha Epsilon,Dehra Dun,NA,India,Doon School,private,International,Boarding,Unafilliated,All-Boys,15258.1,NA,Non-Athlete,None,No,None,30.325565,78.043681,IFC,None
None,None,Delray Beach,Florida,United States,Saint Andrews School,private,Domestic,Day,Episcopal,Co-Ed,41900,NA,Non-Athlete,None,No,None,26.461463,-80.07282,Neither,None
None,None,Demarest,New Jersey,United States,Academy of the Holy Angels,private,Domestic,Day,Catholic,All-Girls,"16,600",NA,Non-Athlete,None,No,None,40.957321,-73.963471,Neither,None
Fraternity,Delta Sigma Phi,Den Haag,NA,Netherlands,The British School of the Netherlands,private,International,Day,Unafilliated,Co-Ed,40166.83,NA,Non-Athlete,None,No,None,52.074946,4.26968,IFC,None
Sorority,Zeta Tau Alpha,Denton,North Carolina,United States,South Davidson High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.51025056,Non-Athlete,None,No,None,35.633471,-80.115881,Panhel,None
Fraternity,Pi Kappa Phi,Denver,Colorado,United States,Kent Denver School,private,Domestic,Day,Unafilliated,Co-Ed,27330,NA,Non-Athlete,None,No,None,39.739154,-104.984703,IFC,None
None,None,Denver,Colorado,United States,Colorado Academy,private,Domestic,Day,Unafilliated,Co-Ed,25430,NA,Non-Athlete,None,No,None,39.739154,-104.984703,Neither,None
None,None,Denver,Colorado,United States,Regis Jesuit High School Boys,private,Domestic,Day,Catholic,All-Boys,15475,NA,Non-Athlete,None,No,None,39.739154,-104.984703,Neither,None
None,None,Detroit,Michigan,United States,Renaissance High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.45,Non-Athlete,None,No,None,42.348664,-83.056737,Neither,None
None,None,Dix Hills,New York,United States,Friends Academy,private,Domestic,Day,Quaker,Co-Ed,34100,NA,Non-Athlete,None,No,None,40.804821,-73.33623,Neither,None
None,None,Dix Hills,New York,United States,Commack High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.06838656,Non-Athlete,None,No,None,40.804821,-73.33623,Neither,None
None,None,Dixmont,Maine,United States,Loomis Chaffee School,private,Domestic,Boarding,Unafilliated,Co-Ed,59640,NA,Athlete,Women's Soccer,No,None,44.680347,-69.162822,Neither,None
Fraternity,Delta Sigma Phi,Dover,Massachusetts,United States,Roxbury Latin School,private,Domestic,Day,Unafilliated,All-Boys,30500,NA,Athlete,Men's Soccer,No,None,42.245931,-71.282834,IFC,None
None,None,Dover,Massachusetts,United States,Dover-Sherborn Regional High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.04072398,Non-Athlete,None,No,None,42.245931,-71.282834,Neither,None
Sorority,Alpha Delta Pi,Doylestown,Pennsylvania,United States,Central Bucks High School East,public,Domestic,Day,Unafilliated,Co-Ed,0,0.03758472,Non-Athlete,None,No,None,40.310004,-75.130484,Panhel,None
Sorority,Kappa Alpha Theta,Doylestown,Pennsylvania,United States,Central Bucks High School East,public,Domestic,Day,Unafilliated,Co-Ed,0,0.03758472,Non-Athlete,None,No,None,40.310004,-75.130484,Panhel,None
Sorority,Kappa Kappa Gamma,Doylestown,Pennsylvania,United States,Central Bucks High School East,public,Domestic,Day,Unafilliated,Co-Ed,0,0.03758472,Non-Athlete,None,No,None,40.310004,-75.130484,Panhel,None
None,None,Dubai,NA,United Arab Emirates,Emirates International School,private,International,Day,Unafilliated,Co-Ed,20223.55,NA,Non-Athlete,None,No,None,25.268352,55.296196,Neither,None
Fraternity,Delta Sigma Phi,Duluth,Georgia,United States,Woodward Academy,private,Domestic,Day,Unafilliated,Co-Ed,25800,NA,Athlete,Men's Soccer,No,None,34.002857,-84.144105,IFC,None
Fraternity,Kappa Alpha Order,Duluth,Georgia,United States,Norcross High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.6741573,Non-Athlete,None,No,None,34.002857,-84.144105,IFC,None
Fraternity,Delta Tau Delta,Duluth,Georgia,United States,Northview High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.06295525,Non-Athlete,None,No,None,34.002857,-84.144105,IFC,None
None,None,Duluth,Georgia,United States,Duluth High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.56,Non-Athlete,None,No,None,34.002857,-84.144105,SLG,Brownstone
None,None,Duluth,Georgia,United States,Duluth High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.56,Non-Athlete,None,No,None,34.002857,-84.144105,Neither,None
None,None,Duluth,Georgia,United States,Peachtree Ridge High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.31329803,Non-Athlete,None,No,None,34.002857,-84.144105,Neither,None
None,None,Duluth,Georgia,United States,Northview High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.06295525,Non-Athlete,None,No,None,34.002857,-84.144105,Neither,None
None,None,Duluth,Georgia,United States,Northview High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.06295525,Non-Athlete,None,No,None,34.002857,-84.144105,Neither,None
None,None,Dumfries,Virginia,United States,Potomac Senior High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.44394618,Non-Athlete,None,Yes,University,38.56762,-77.328038,Neither,None
None,None,Dunkirk,Maryland,United States,Northern High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.11725955,Non-Athlete,None,No,None,38.721784,-76.660519,Neither,None
Fraternity,Delta Sigma Phi,Durham,North Carolina,United States,Charles E Jordan Senior High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.41341991,Athlete,Men's Soccer,No,None,35.994033,-78.898619,IFC,None
Fraternity,Kappa Sigma,Durham,North Carolina,United States,Durham Academy Upper School,private,Domestic,Day,Unafilliated,Co-Ed,24040,NA,Non-Athlete,None,No,None,35.994033,-78.898619,IFC,None
Fraternity,Sigma Alpha Epsilon,Durham,North Carolina,United States,Durham Academy Upper School,private,Domestic,Day,Unafilliated,Co-Ed,24040,NA,Non-Athlete,None,No,None,35.994033,-78.898619,IFC,None
Fraternity,Kappa Alpha Order,Durham,North Carolina,United States,Riverside High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.52843732,Non-Athlete,None,No,None,35.994033,-78.898619,IFC,None
None,None,Durham,North Carolina,United States,Durham School of the Arts,public,Domestic,Day,Unafilliated,Co-Ed,0,0.38545454,Non-Athlete,None,No,None,35.994033,-78.898619,Neither,None
None,None,Durham,North Carolina,United States,Loomis Chaffee School,private,Domestic,Boarding,Unafilliated,Co-Ed,59640,NA,Non-Athlete,None,No,None,35.994033,-78.898619,Neither,None
None,None,Durham,North Carolina,United States,North Carolina School of Science & Math,public,Domestic,Day,Unafilliated,Co-Ed,0,NA,Non-Athlete,None,No,None,35.994033,-78.898619,Neither,None
None,None,Durham,North Carolina,United States,Durham School of the Arts,public,Domestic,Day,Unafilliated,Co-Ed,0,0.38545454,Non-Athlete,None,No,None,35.994033,-78.898619,Neither,None
None,None,Durham,North Carolina,United States,Middle College High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.18954248,Non-Athlete,None,No,None,35.994033,-78.898619,Neither,None
None,None,Durham,North Carolina,United States,North Carolina School of Science & Math,public,Domestic,Day,Unafilliated,Co-Ed,0,NA,Non-Athlete,None,No,None,35.994033,-78.898619,SLG,Ubuntu
Sorority,Alpha Phi,Durham,North Carolina,United States,Durham Academy Upper School,private,Domestic,Day,Unafilliated,Co-Ed,24040,NA,Non-Athlete,None,No,None,35.994033,-78.898619,Panhel,None
Sorority,Gamma Phi Beta,Durham,North Carolina,United States,Durham Academy Upper School,private,Domestic,Day,Unafilliated,Co-Ed,24040,NA,Non-Athlete,None,No,None,35.994033,-78.898619,Panhel,None
Sorority,Zeta Tau Alpha,Durham,North Carolina,United States,Charles E Jordan Senior High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.41341991,Non-Athlete,None,No,None,35.994033,-78.898619,Panhel,None
Sorority,Kappa Alpha Theta,Durham,North Carolina,United States,Durham School of the Arts,public,Domestic,Day,Unafilliated,Co-Ed,0,0.38545454,Non-Athlete,None,No,None,35.994033,-78.898619,Panhel,None
None,None,Earlysville,Virginia,United States,Tandem Friends School,private,Domestic,Day,Quaker,Co-Ed,22600,NA,Athlete,Women's Fencing,No,None,38.157634,-78.48279,Neither,None
None,None,Easley,South Carolina,United States,Easley High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.3873824,Athlete,Fooball,No,None,34.826928,-82.581705,Neither,None
Sorority,Kappa Kappa Gamma,East Amherst,New York,United States,Buffalo Academy Sacred Heart,private,Domestic,Day,Catholic,All-Girls,14800,NA,Non-Athlete,None,No,None,43.018391,-78.696697,Panhel,None
Sorority,Alpha Phi,East Brunswick,New Jersey,United States,East Brunswick High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.1453382,Non-Athlete,None,No,None,40.427884,-74.415984,Panhel,None
None,None,East Elmhurst,New York,United States,Bronx High School of Science,public,Domestic,Day,Unafilliated,Co-Ed,0,0.473666777,Non-Athlete,None,No,None,40.761212,-73.865136,Neither,None
Sorority,Kappa Alpha Theta,East Greenwich,Rhode Island,United States,Moses Brown School,private,Domestic,Day,Quaker,Co-Ed,34385,NA,Non-Athlete,None,No,None,41.660379,-71.455891,Panhel,None
Fraternity,Pi Kappa Alpha,East Northport,New York,United States,Half Hollow Hills High School West,public,Domestic,Day,Unafilliated,Co-Ed,0,0.16494845,Non-Athlete,None,No,None,40.876765,-73.324561,IFC,None
Sorority,Pi Beta Phi,East Rockaway,New York,United States,Lynbrook Senior High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.10375275,Non-Athlete,None,No,None,40.642048,-73.669575,Panhel,None
None,None,East Setauket,New York,United States,Ward Melville High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.07069616,Non-Athlete,None,No,None,40.941843,-73.105856,Neither,None
Sorority,Kappa Kappa Gamma,Easton,Maryland,United States,Saints Peter and Paul High School,private,Domestic,Day,Catholic,Co-Ed,12750,NA,Non-Athlete,None,No,None,38.774283,-76.07633,Panhel,None
None,None,Ebute Metta,NA,Nigeria,African Leadership Academy,private,International,Boarding,Unafilliated,Co-Ed,30900,NA,Non-Athlete,None,Yes,Robertson,6.486255,3.385612,Neither,None
Fraternity,Chi Psi,Eden Prairie,Minnesota,United States,Eden Prairie High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.17392761,Non-Athlete,None,No,None,44.854686,-93.470786,IFC,None
Fraternity,Sigma Chi,Eden Prairie,Minnesota,United States,Eden Prairie High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.17392761,Non-Athlete,None,No,None,44.854686,-93.470786,IFC,None
Sorority,Zeta Tau Alpha,Eden Prairie,Minnesota,United States,Eden Prairie High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.17392761,Non-Athlete,None,No,None,44.854686,-93.470786,Panhel,None
None,None,Edina,Minnesota,United States,Edina High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.08291708,Non-Athlete,None,No,None,44.889703,-93.350122,Neither,None
None,None,Edinboro,Pennsylvania,United States,General McLane High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.27994616,Non-Athlete,None,No,None,41.874223,-80.131724,SLG,Mirecourt
None,None,Edinburg,Texas,United States,Idea Quest College Preparatory,public,Domestic,Day,Unafilliated,Co-Ed,0,0.83449235,Non-Athlete,None,No,None,26.301398,-98.16245,SLG,Arts Theme House
Sorority,Kappa Kappa Gamma,Edinburgh,NA,United Kingdom,Fettes College,private,International,Day,Unafilliated,Co-Ed,36413.77,NA,Non-Athlete,None,No,None,55.949563,-3.191497,Panhel,None
None,None,Edison,New Jersey,United States,John P Stevens High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.18801843,Non-Athlete,None,No,None,40.538238,-74.394517,Neither,None
None,None,Edison,New Jersey,United States,John P Stevens High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.18801843,Non-Athlete,None,No,None,40.538238,-74.394517,Neither,None
None,None,Edmond,Oklahoma,United States,Edmond Santa Fe High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.27252353,Non-Athlete,None,No,None,35.657137,-97.464904,SLG,LangDorm
None,None,Eight Mile,Alabama,United States,Saint Pauls Episcopal School,private,Domestic,Day,Episcopal,Co-Ed,11628,NA,Athlete,Fooball,No,None,30.763521,-88.126946,Neither,None
None,None,El Paso,Texas,United States,Cathedral High School,private,Domestic,Day,Catholic,All-Boys,6680,NA,Non-Athlete,None,No,None,31.811131,-106.501349,Neither,None
None,None,Elgin,Texas,United States,The Khabele School,private,Domestic,Day,Unafilliated,Co-Ed,17695,NA,Non-Athlete,None,Yes,AB,30.349351,-97.370576,Neither,None
None,None,Elk Grove,California,United States,Cosumnes Oaks High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.2393,Athlete,Fooball,No,None,38.408799,-121.371618,Neither,None
None,None,Elkridge,Maryland,United States,Mount Saint Joseph High School,private,Domestic,Day,Catholic,All-Boys,15200,NA,Athlete,Men's Soccer,No,None,39.212834,-76.713715,Neither,None
None,None,Elkridge,Maryland,United States,Our Lady of Good Counsel High School,private,Domestic,Day,Catholic,Co-Ed,19550,NA,Athlete,Women's Soccer,No,None,39.212834,-76.713715,Neither,None
None,None,Ellicott City,Maryland,United States,River Hill High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.05496183,Non-Athlete,None,No,None,39.267328,-76.798307,Neither,None
Sorority,Pi Beta Phi,Elm City,North Carolina,United States,Fike High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.45877862,Athlete,Women's Soccer,No,None,35.806546,-77.863315,Panhel,None
Sorority,Pi Beta Phi,Elmhurst,Illinois,United States,York Community High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.17850502,Non-Athlete,None,No,None,41.899475,-87.940342,Panhel,None
Sorority,Delta Gamma,Encinitas,California,United States,San Dieguito Academy,public,Domestic,Day,Unafilliated,Co-Ed,0,0.075,Non-Athlete,None,No,None,33.036987,-117.291982,Panhel,None
None,None,Encino,California,United States,Oakwood School,private,Domestic,Day,Unafilliated,Co-Ed,38925,NA,Non-Athlete,None,No,None,34.159132,-118.501617,SLG,The Cube
None,None,Enfield,Connecticut,United States,Enrico Fermi High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.19,Non-Athlete,None,No,None,41.976208,-72.591755,Neither,None
None,None,Englewood,Colorado,United States,Cherry Creek High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.12293211,Non-Athlete,None,Yes,Reggie,39.648206,-104.987964,SLG,Wayne Manor
None,None,Escazu,NA,Costa Rica,Country Day School,private,International,Day,Unafilliated,Co-Ed,10750,NA,Non-Athlete,None,No,None,9.917358,-84.141072,Neither,None
None,None,Essex Junction,Vermont,United States,Essex High School,public,Domestic,Day,Unafilliated,Co-Ed,7416.48,NA,Non-Athlete,None,No,None,44.490605,-73.11096,SLG,Ubuntu
None,None,Eugene,Oregon,United States,South Eugene High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.25156794,Athlete,Men's Track,No,None,44.101181,-123.152384,Neither,None
Fraternity,Chi Psi,Eureka,Missouri,United States,Eureka High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.08902691,Non-Athlete,None,No,None,38.502554,-90.627904,IFC,None
None,None,Eureka,Missouri,United States,Eureka High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.08902691,Non-Athlete,None,No,None,38.502554,-90.627904,Neither,None
None,None,Evanston,Illinois,United States,Evanston Township High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.41623376,Non-Athlete,None,No,None,42.044739,-87.693046,Neither,None
None,None,Excelsior,Minnesota,United States,Blake School-Northrup Campus,private,Domestic,Day,Unafilliated,Co-Ed,29025,NA,Athlete,Women's Lacrosse,No,None,44.903296,-93.566345,Neither,None
Fraternity,Kappa Sigma,Eyuep,NA,Turkey,The Koc School,private,International,Day,Unafilliated,Co-Ed,18598.25,NA,Non-Athlete,None,No,None,41.165287,28.883045,IFC,None
Sorority,Kappa Kappa Gamma,Fair Haven,New Jersey,United States,Rumson-Fair Haven Regional High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.00319829,Athlete,Women's Soccer,No,None,40.360665,-74.038195,Panhel,None
None,None,Fair Oaks,California,United States,Del Campo High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.4326,Non-Athlete,None,No,None,39.378498,-123.341398,Neither,None
None,None,Fairfax,Virginia,United States,Oakton High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.11616818,Non-Athlete,None,No,None,38.846224,-77.306373,Neither,None
None,None,Fairfax,Virginia,United States,James W Robinson Jr Secondary School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.10064935,Non-Athlete,None,No,None,38.846224,-77.306373,Neither,None
None,None,Fairfax,Virginia,United States,Thomas Jefferson High School of Science/Technology,public,Domestic,Day,Unafilliated,Co-Ed,0,0.01813186,Non-Athlete,None,No,None,38.846224,-77.306373,Neither,None
None,None,Fairfax,Virginia,United States,Thomas Jefferson High School of Science/Technology,public,Domestic,Day,Unafilliated,Co-Ed,0,0.01813186,Non-Athlete,None,No,None,38.846224,-77.306373,SLG,Ubuntu
Sorority,Gamma Phi Beta,Fairfax,Virginia,United States,W T Woodson High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.10092514,Non-Athlete,None,No,None,38.846224,-77.306373,Panhel,None
Sorority,Zeta Tau Alpha,Fairfield,California,United States,College Preparatory School,private,Domestic,Day,Unafilliated,Co-Ed,19800,NA,Non-Athlete,None,No,None,38.249358,-122.039966,Panhel,None
None,None,Fairfield,Ohio,United States,Fairfield High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.31074227,Non-Athlete,None,No,None,39.788611,-82.641888,Neither,None
None,None,Fairfield,New Jersey,United States,West Essex Senior High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.03551401,Athlete,Field Hockey,No,None,40.88371,-74.305982,Neither,None
None,None,Fairfield,Connecticut,United States,Fairfield Warde High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.14147018,Non-Athlete,None,No,None,41.294307,-73.37486,Neither,None
Sorority,Delta Gamma,Fairfield,Connecticut,United States,Academy of our Lady of Mercy,private,Domestic,Day,Unafilliated,Co-Ed,18750,NA,Non-Athlete,None,No,None,41.294307,-73.37486,SLG + Panhel,Illyria
Fraternity,Sigma Nu,Fairfield,Connecticut,United States,Lawrenceville School,private,Domestic,Boarding,Unafilliated,Co-Ed,62190,NA,Non-Athlete,None,No,None,41.294307,-73.37486,IFC,None
None,None,Faisalabad,NA,Pakistan,Woldingham School,private,International,Boarding,Catholic,All-Girls,47732.24,NA,Non-Athlete,None,No,None,31.422056,73.092325,SLG,Ubuntu
Sorority,Alpha Phi,Falls Church,Virginia,United States,McLean High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.0815637,Non-Athlete,None,No,None,38.882334,-77.171091,Panhel,None
None,None,Fargo,North Dakota,United States,Ronald N Davies High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.16279069,Non-Athlete,None,No,None,46.877229,-96.789821,Neither,None
Fraternity,Sigma Chi,Farmingdale,New York,United States,Farmingdale High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.24136152,Non-Athlete,None,No,None,40.731786,-73.448158,IFC,None
None,None,Farmington,New Mexico,United States,Piedra Vista High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.45842217,Non-Athlete,None,No,None,36.730429,-108.208919,Neither,None
None,None,Farmington,Connecticut,United States,Farmington High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.11471519,Non-Athlete,None,No,None,41.719822,-72.832043,Neither,None
None,None,Fayetteville,Georgia,United States,Woodward Academy,private,Domestic,Day,Unafilliated,Co-Ed,25800,NA,Non-Athlete,None,No,None,33.448726,-84.454926,SLG,Cooper
None,None,Fayetteville,North Carolina,United States,Cape Fear High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.441042345,Non-Athlete,None,No,None,35.052993,-78.878706,Neither,None
Fraternity,Alpha Epsilon Pi,Fayetteville,North Carolina,United States,Fayetteville Academy,private,Domestic,Day,Unafilliated,Co-Ed,15290,NA,Non-Athlete,None,No,None,35.052993,-78.878706,IFC,None
Fraternity,Sigma Phi Epsilon,Fayetteville,North Carolina,United States,Jack Britt High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.28490468,Non-Athlete,None,No,None,35.052993,-78.878706,IFC,None
None,None,Fayetteville,North Carolina,United States,Fayetteville Academy,private,Domestic,Day,Unafilliated,Co-Ed,15290,NA,Non-Athlete,None,No,None,35.052993,-78.878706,Neither,None
None,None,Fayetteville,North Carolina,United States,Reid Ross Classical School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.54375,Non-Athlete,None,No,None,35.052993,-78.878706,Neither,None
None,None,Fayetteville,North Carolina,United States,Terry Sanford Senior High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.45181674,Non-Athlete,None,No,None,35.052993,-78.878706,Neither,None
None,None,Fayetteville,North Carolina,United States,Terry Sanford Senior High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.45181674,Non-Athlete,None,No,None,35.052993,-78.878706,Neither,None
None,None,Fayetteville,North Carolina,United States,Jack Britt High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.28490468,Non-Athlete,None,No,None,35.052993,-78.878706,Neither,None
None,None,Fes,NA,Morocco,African Leadership Academy,private,International,Boarding,Unafilliated,Co-Ed,30900,NA,Non-Athlete,None,Yes,University,34.034116,-5.013348,Neither,None
Fraternity,Delta Sigma Phi,Flemington,New Jersey,United States,Hunterdon Central Regional High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.06769635,Athlete,Men's Soccer,No,None,40.512326,-74.859332,IFC,None
None,None,Flint,Michigan,United States,Swartz Creek High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.2,Non-Athlete,None,No,None,43.017177,-83.723602,Neither,None
None,None,Florence,South Carolina,United States,Wilson High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.61003521,Non-Athlete,None,No,None,34.1987,-79.7677,SLG,Brownstone
None,None,Florence,South Carolina,United States,Wilson High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.61003521,Non-Athlete,None,No,None,34.1987,-79.7677,SLG,Brownstone
None,None,Florence,South Carolina,United States,Wilson High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.61003521,Non-Athlete,None,Yes,Trinity,34.1987,-79.7677,Neither,None
None,None,Florissant,Missouri,United States,Hazelwood Central Senior High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.49389002,Non-Athlete,None,No,None,38.789217,-90.322614,Neither,None
None,None,Flower Mound,Texas,United States,Coppell High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.09661989,Non-Athlete,None,No,None,33.014567,-97.096955,Neither,None
None,None,Forest Grove,Oregon,United States,Forest Grove High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.50581395,Non-Athlete,None,No,None,45.519745,-123.11144,Neither,None
None,None,Fort Belvoir,Virginia,United States,Mount Vernon High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.5191447,Non-Athlete,None,No,None,38.710739,-77.143676,Neither,None
None,None,Fort Belvoir,Virginia,United States,Mount Vernon High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.5191447,Athlete,Women's Track,No,None,38.710739,-77.143676,Neither,None
Fraternity,Alpha Epsilon Pi,Fort Collins,Colorado,United States,Fossil Ridge High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.09432989,Non-Athlete,None,No,None,40.550853,-105.066808,IFC,None
None,None,Fort Collins,Colorado,United States,Fossil Ridge High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.09432989,Non-Athlete,None,Yes,Robertson,40.550853,-105.066808,SLG,Cooper
None,None,Fort Collins,Colorado,United States,Fossil Ridge High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.09432989,Non-Athlete,None,Yes,University,40.550853,-105.066808,Neither,None
None,None,Fort Lauderdale,Florida,United States,Fort Lauderdale High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.65084586,Non-Athlete,None,No,None,26.122308,-80.143379,SLG,Ubuntu
None,None,Fort Mill,South Carolina,United States,Fort Mill High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.15086206,Athlete,Men's Lacrosse,No,None,35.00737,-80.945076,Neither,None
None,None,Fort Mill,South Carolina,United States,Comenius School for Creative Leadership,private,Domestic,Day,Pentecostal,Co-Ed,5555,NA,Non-Athlete,None,No,None,35.00737,-80.945076,Neither,None
None,None,Fort Mill,South Carolina,United States,Salpointe Catholic High School,private,Domestic,Day,Catholic,Co-Ed,9200,NA,Non-Athlete,None,No,None,35.00737,-80.945076,Neither,None
None,None,Fort Myers,Florida,United States,Bishop Verot High School,private,Domestic,Day,Catholic,Co-Ed,11400,NA,Athlete,Baseball,No,None,26.640628,-81.872308,Neither,None
Sorority,Kappa Alpha Theta,Fort Myers,Florida,United States,Fort Myers High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.37064029,Non-Athlete,None,No,None,26.640628,-81.872308,Panhel,None
Fraternity,Alpha Epsilon Pi,Fort Wayne,Indiana,United States,South Side High School,public,Domestic,Day,Unafilliated,Co-Ed,0,NA,Non-Athlete,None,No,None,41.07999,-85.138601,IFC,None
Fraternity,Chi Psi,Fort Wayne,Indiana,United States,Carroll High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.158633599,Non-Athlete,None,No,None,41.07999,-85.138601,IFC,None
Fraternity,Alpha Epsilon Pi,Fort Worth,Texas,United States,Fort Worth Country Day School,private,Domestic,Day,Unafilliated,Co-Ed,22000,NA,Non-Athlete,None,No,None,32.753177,-97.332746,IFC,None
Fraternity,Alpha Tau Omega,Fort Worth,Texas,United States,Fort Worth Country Day School,private,Domestic,Day,Unafilliated,Co-Ed,22000,NA,Non-Athlete,None,No,None,32.753177,-97.332746,IFC,None
None,None,Fort Worth,Texas,United States,Trinity Valley School,private,Domestic,Day,Unafilliated,Co-Ed,21630,NA,Non-Athlete,None,No,None,32.753177,-97.332746,Neither,None
None,None,Fort Worth,Texas,United States,North Side High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.7118948,Non-Athlete,None,No,None,32.753177,-97.332746,Neither,None
Fraternity,Psi Upsilon,Fortaleza,NA,Brazil,Organizacao Educacional Farias,NA,International,Day,Unafilliated,Co-Ed,NA,NA,Non-Athlete,None,Yes,Karsh,-10.456657,-67.25622,IFC,None
Fraternity,Pi Kappa Phi,Foster,Rhode Island,United States,La Salle Academy,private,Domestic,Day,Catholic,Co-Ed,14800,NA,Non-Athlete,None,No,None,41.85371,-71.758125,IFC,None
None,None,Franklin,Tennessee,United States,Battle Ground Academy,private,Domestic,Day,Unafilliated,Co-Ed,22506,NA,Non-Athlete,None,No,None,35.924864,-86.867691,Neither,None
Sorority,Delta Gamma,Franklin,Tennessee,United States,Ravenwood High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.02,Non-Athlete,None,No,None,35.924864,-86.867691,Panhel,None
None,None,Franklin Park,New Jersey,United States,Immaculata High School,private,Domestic,Day,Catholic,Co-Ed,13500,NA,Non-Athlete,None,No,None,40.438994,-74.535155,Neither,None
None,None,Fredericksburg,Virginia,United States,Fredericksburg Academy,private,Domestic,Day,Unafilliated,Co-Ed,22300,NA,Athlete,Field Hockey,No,None,38.303184,-77.46054,Neither,None
